#Cluster	Sample size	Presence SNPs	Absence SNPs	Filtered presence SNPs	Filtered absence SNPs	Presence markers	Absence markers	Filtered presence markers	Filtered absence markers
L4.2.1.1.1.2.2.2.1	19	1	0	1	0	1	0	1	0
L4.2.1.1.1.2.2.2.2	134	3	0	3	0	3	0	3	0
L4.2.1.1.2.1	86	28	0	28	0	28	0	28	0
L4.2.1.1.2.2	906	76	0	72	0	72	0	72	0
L4.2.1.1.2.1.1	50	7	0	7	0	7	0	7	0
L4.2.1.1.2.1.2	36	6	0	6	0	6	0	6	0
L4.2.1.1.2.1.1.1	14	40	0	40	0	40	0	40	0
L4.2.1.1.2.1.1.2	27	68	0	66	0	66	0	66	0
L4.2.1.1.2.1.2.1	11	44	0	44	0	44	0	44	0
L4.2.1.1.2.1.2.2	13	0	0	0	0	0	0	0	0
L4.2.1.1.2.2.1	21	9	0	9	0	9	0	9	0
L4.2.1.1.2.2.2	885	82	0	78	0	78	0	78	0
L4.2.1.1.2.2.1.1	10	9	0	9	0	9	0	9	0
L4.2.1.1.2.2.1.2	11	43	0	43	0	43	0	43	0
L4.2.1.1.2.2.2.1	21	3	0	3	0	3	0	3	0
L4.2.1.1.2.2.2.2	856	44	0	44	0	44	0	44	0
L4.2.1.1.2.2.2.2.1	238	0	0	0	0	0	0	0	0
L4.2.1.1.2.2.2.2.2	614	1	0	1	0	1	0	1	0
L4.2.1.1.2.2.2.2.1.1	49	26	0	26	0	26	0	26	0
L4.2.1.1.2.2.2.2.1.2	189	11	0	11	0	11	0	11	0
L4.2.1.1.2.2.2.2.1.1.1	25	15	0	13	0	13	0	13	0
L4.2.1.1.2.2.2.2.1.1.2	13	0	0	0	0	0	0	0	0
L4.2.1.1.2.2.2.2.1.2.1	159	4	0	4	0	4	0	4	0
L4.2.1.1.2.2.2.2.1.2.2	22	2	0	2	0	2	0	2	0
L4.2.1.1.2.2.2.2.1.2.1.1	82	2	0	2	0	2	0	2	0
L4.2.1.1.2.2.2.2.1.2.1.2	77	10	0	10	0	10	0	10	0
L4.2.1.1.2.2.2.2.1.2.1.1.1	46	4	0	4	0	4	0	4	0
L4.2.1.1.2.2.2.2.1.2.1.1.2	36	0	0	0	0	0	0	0	0
L4.2.1.1.2.2.2.2.1.2.1.2.1	24	6	0	6	0	6	0	6	0
